Name,Level,NE_LAT,NE_LNG,SW_LAT,SW_LNG,LAT,LNG
"Vishwakarma Nagar, jodhpur",VILLAGE,26.2300943,72.9694906,26.2263508,72.9653429,26.2289224,72.9673828
"Magra, jodhpur",VILLAGE,26.3365066,73.07414899999999,26.3272677,73.0599679,26.3330454,73.06383610000002
"Phalodi (M), jodhpur",TOWN,27.158906,72.3951816,27.0891005,72.3305101,27.1312346,72.3589284
"Nimbla, jodhpur",VILLAGE,26.91592,72.60059989999999,26.8852,72.53786989999999,26.8999499,72.5737187
"Hadman Nagar, jodhpur",VILLAGE,26.85754,72.5646999,26.8264801,72.5160901,26.8384527,72.53822930000001
"Osian, jodhpur",SUB-DISTRICT,26.7460703,72.91896330000002,26.7153686,72.8878069,26.7245449,72.9047136
"Bher, jodhpur",VILLAGE,26.8459173,72.53671659999999,26.8386612,72.5283695,26.842597,72.53157449999999
"Samrau, jodhpur",VILLAGE,26.831347,72.6316667,26.8230559,72.61780499999999,26.827723,72.6225087
"Hari Nagar, jodhpur",VILLAGE,26.2539135,72.96276929999999,26.2512288,72.9599798,26.2522805,72.9611893
"Hariom Nagar, jodhpur",VILLAGE,26.2586462,72.966342,26.2525038,72.9609454,26.2550088,72.9630347
"Jakhro Ki Dhani, jodhpur",VILLAGE,26.4351574,73.61641279999999,26.4328644,73.6132449,26.4346028,73.61582229999999
"Bhimsagar, jodhpur",VILLAGE,26.9125199,72.6802699,26.8369,72.61332999999999,26.8691533,72.65121189999999
"Lal Sagar, jodhpur",VILLAGE,26.3330747,73.0561702,26.3298618,73.05364329999999,26.3316206,73.05491649999999
"Saran Nagar, jodhpur",VILLAGE,26.3106469,73.0913829,26.295944,73.0810099,26.3021413,73.08627349999999
"Bhaduon Ki Dhani, jodhpur",VILLAGE,26.2477442,73.0098177,26.2372488,72.97579739999999,26.2437726,72.9933321
"Budh Nagar, jodhpur",VILLAGE,26.39454,73.29821,26.37099,73.2448999,26.3801336,73.2706389
"Pali- I, jodhpur",VILLAGE,26.2704033,73.0228173,26.2322097,73.0139616,26.2528644,73.0165545
"Pali-Ii, jodhpur",VILLAGE,26.93754,72.76038,26.87038,72.6616099,26.8985129,72.6978931
"Bhakhri, jodhpur",VILLAGE,26.9158901,72.65593,26.8555101,72.56741989999999,26.8930382,72.6092032
"Jambheswar Nagar, jodhpur",VILLAGE,26.3016689,73.08987479999999,26.2982777,73.0851363,26.299687,73.0874221
"Bedoo, jodhpur",VILLAGE,27.0535,72.95271,27.0114599,72.8771799,27.0342119,72.9165266
"Chain Sagar, jodhpur",VILLAGE,26.3012132,73.05836049999999,26.2997873,73.0534287,26.3005216,73.0557795
"Unawara, jodhpur",VILLAGE,27.03685,72.8050201,26.9805899,72.74396999999999,27.0050932,72.7747325
"Jamsagar, jodhpur",VILLAGE,26.3033061,73.03154789999999,26.295955,73.0203731,26.3003645,73.0242932
"Bedoo Kalan, jodhpur",VILLAGE,27.0465501,72.87933009999999,26.99006,72.79326999999999,27.0238966,72.8338234
"Balaji Nagar, jodhpur",VILLAGE,26.2373873,72.97453329999999,26.2336357,72.96756669999999,26.2355374,72.9701273
"Palli, jodhpur",VILLAGE,27.01763,72.78101,26.9201,72.67137,26.9699069,72.7215385
"Jeriya, jodhpur",VILLAGE,27.0243899,72.74915,26.9822,72.69511,27.0105551,72.72744949999999
"Bhanda, jodhpur",VILLAGE,27.0180401,72.94439,26.9770099,72.85712,27.0069845,72.8810859
"Karwan, jodhpur",VILLAGE,26.9993501,72.97094,26.9054,72.90735,26.9736628,72.9342451
"Bapini, jodhpur",VILLAGE,27.0085222,72.98924629999999,26.9856115,72.9577448,26.9957045,72.9863542
"Poonasar, jodhpur",VILLAGE,27.08693,73.0904901,26.99377,72.97586,27.0409599,73.0169135
"Mepan, jodhpur",VILLAGE,26.99773,72.92061,26.97034,72.8943199,26.9871094,72.9047136
"Bapini Khurd, jodhpur",VILLAGE,26.96898,73.01558,26.9007601,72.95134999999999,26.9338611,72.9814877
"Ompura, jodhpur",VILLAGE,27.0104899,73.05994,26.9205801,73.00359999999999,26.9625239,73.0287209
"Saraswati Nagar, jodhpur",VILLAGE,26.2358514,73.0254947,26.2223969,73.0145744,26.2287679,73.02108030000001
"Jakhan, jodhpur",VILLAGE,27.0342401,73.12807,26.93678,73.0466701,26.9911735,73.0759446
"Barsaloo Kalan, jodhpur",VILLAGE,26.95897,73.12974009999999,26.89598,73.06437,26.9305496,73.0936509
"Kapooriya, jodhpur",VILLAGE,26.93003,73.0495,26.88694,73.00514,26.91042,73.0228173
"Barsaloo Khurd, jodhpur",VILLAGE,26.9391301,73.08318,26.89152,73.0424,26.9147795,73.0582368
"Poonasar Khurd, jodhpur",VILLAGE,27.10227,73.1438301,27.02494,73.04919,27.0625685,73.0995528
"Vishvakarma Nagar, jodhpur",VILLAGE,26.2031563,73.0013755,26.2019822,73.0006038,26.2026186,73.0009433
"Radiya Bera, jodhpur",VILLAGE,26.98503,72.80972,26.8866699,72.7396799,26.9331812,72.79246119999999
"Bedon Ka Bera, jodhpur",VILLAGE,26.95436,72.85407,26.8662901,72.7965399,26.9083505,72.82200639999999
"Lakheta, jodhpur",VILLAGE,26.9476899,72.97700999999999,26.87581,72.8838,26.9051854,72.9342451
"Matora, jodhpur",VILLAGE,26.9632013,72.8799533,26.9479731,72.8730173,26.9608704,72.8764769
"Sanwata, jodhpur",VILLAGE,26.98233,72.9165001,26.9457099,72.83633,26.9628209,72.8929
"Harlaya, jodhpur",VILLAGE,26.8761101,72.72407000000001,26.8149199,72.6786499,26.8528887,72.6978931
"Nausar, jodhpur",VILLAGE,26.9067,72.84946,26.8325101,72.72023,26.8647276,72.79246119999999
"Indon Ki Dhani -Ii, jodhpur",VILLAGE,26.79222,72.82603,26.7241799,72.74678999999999,26.7540925,72.7747325
"Kerlanada, jodhpur",VILLAGE,26.8810101,72.8127599,26.7734098,72.7198299,26.8161308,72.7688226
"Bheekam Kor, jodhpur",VILLAGE,26.8060427,72.8007318,26.7933137,72.78771220000002,26.7985039,72.7948562
"Indon Ki Dhani, jodhpur",VILLAGE,26.79222,72.82603,26.7241799,72.74678999999999,26.7540925,72.7747325
"Hari Om Nagar, jodhpur",VILLAGE,26.2586462,72.966342,26.2525038,72.9609454,26.2550088,72.9630347
"Khabra Khurd, jodhpur",VILLAGE,26.7503001,72.80296,26.71693,72.75381,26.7312607,72.7747325
"Bheeyadiya, jodhpur",VILLAGE,26.84191,72.89009,26.76954,72.8127599,26.8050713,72.86336349999999
